,Job Title,Location,Date,Link,Job Attributes,Job Description
1,Affordable Housing specialist needed for Non Profit startup,Hudson,May  1,https://boston.craigslist.org/bmw/npo/d/hudson-affordable-housing-specialist/7117019024.html,"
compensation: Commensurate with Experience

employment type: employee's choice

","

QR Code Link to This Post


Non profit start up specializing in the affordable housing sector is looking for people with experience in all aspects of non profit work.

This non profit corporation was recently spawned by our ""sister company"" Efficient Buildings Realty Group LLC, a real estate flipping company which donates 1/3 of all profits from real estate flips to worthy causes.

Please respond to this post with your interest and qualifications, a phone number and the best time to reach you.

Flipping For Charities, Inc.    "
2,Paid Intern Position ~ Personal Assistant / Driver,Franklin,May  1,https://boston.craigslist.org/bmw/npo/d/franklin-paid-intern-position-personal/7116930986.html,"
compensation: $18 per hour

employment type: full-time

internship

","

QR Code Link to This Post


Construction company, Real estate flipping and development company, and Non Profit Company owner is looking for an all around person to assist the owner in managing the day-to-day activities of real estate purchases, rehabs etc...

Must be detail oriented and be able to lift 50 lbs. Must pass a background check and drug test.  Must have clean driving record and be able to drive a cargo van.

Please reply to this ad with these three items. Your resume (or job history if a resume is not available) and your email address and phone number.

Benefits:
Paid Holidays
Paid Vacation
Health Insurance
Dental Insurance
Life Insurance
Disability Insurance
Accident Insurance

Efficient Buildings LLC
Efficient Buildings Realty Group LLC
Flipping For Charities, Inc.    "
3,"Part-Time Dining Site Assistant, $15/hour","Waltham, MA",Apr 30,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-dining-site-assistant/7116538462.html,"
compensation: $15.00/hour (15 hours/week)

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Community Nutrition Program seeks a Part-Time Dining Site Assistant in Brookline and Needham Elderly Housing. Benefits include paid holidays, sick, and vacation time.
Available Positions:
Brookline position offers $15.00 for a 15-hour work week: Monday-Friday from 10:30 AM- 1:30 PM. 
Needham position offers $15.00 for a 15-hour work week: Monday-Friday from 10:30 AM 1:30 PM. 
QUALIFICATIONS
Must be organized, efficient, and enjoy working with elders.
Willing to occasionally cover at other dining sites as needed and be able to lift 25 lbs.
Willing to attend staff meetings every other month at Springwell in Waltham.
A reliable car, current driver's license, and safe driving record required.
Some experience in human services work, preferably with the elderly, preferred.
Experience with food service a plus.
 
For information or to apply, please visit our website at https://springwell.applicantpro.com/jobs/
 
We look forward to hearing from you soon!
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Dining, Dining Site, Community Dining, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1394801-143011.html "
4,Part-Time Floating Nutrition Assistant,"Waltham, MA",Apr 30,https://boston.craigslist.org/gbs/npo/d/waltham-part-time-floating-nutrition/7116538187.html,"
compensation: $15.00/hour (15 hours/week)

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Springwell is looking for a Part-Time Floating Nutrition Assistant to cover daily operations of the Nutrition Department, providing hunger relief to elders in the suburbs West of Boston.
POSITION DESCRIPTION
Duties are included but not limited to: meal delivery to elders, serving meals at elder lunch sites, and other projects as assigned.
This position offers $15.00/hour for a 20-hour work week: Monday - Friday from 9:00 a.m. - 1:00 p.m. and includes paid holiday, vacation and sick time and is eligible for benefits. Mileage is included when a home delivered meal route is covered.
QUALIFICATIONS
A reliable car, current driver's license, and safe driving record required.
Must be able to lift 20lbs.
Must be flexible, able to work independently, friendly, and enjoy working with elders.
Some experience with elders, preferred.
Knowledge of geographic area a plus.
BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Nutrition, Dining, Dining Site, Community Dining, Meals on Wheels, Driver, Food Service, Health Care, Nonprofit, Elder, Elderly Housing, Geriatric Care, Assisted Living, Human Services
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1396449-143011.html "
5,Caregiver Specialist,"Waltham, MA",Apr 30,https://boston.craigslist.org/gbs/npo/d/waltham-caregiver-specialist/7116537895.html,"
compensation: Competitive salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a dedicated, compassionate individual to work with family caregivers. The Caregiver Specialist provides support, education, and advocacy for caregivers in identifying and obtaining services.  
Position Description:
The Caregiver Specialist is in the unique position to help those who provide care make informed decisions, solve problems, reduce stress, and maintain overall physical and emotional health. The Caregiver Specialist will meet with individual or multiple family caregivers to identify and communicate their role in the care of a loved one. Consultations with caregivers often include an assessment of care-giving needs, suggestions about resource options, and follow-up assistance.  The Caregiver Specialist will also conduct outreach and make presentations about the program as well as represent Springwell at community events.
Essential job functions include:
Conduct meetings and assessments with caregivers over the phone, at their home, in the community, or at the Springwell office.
Provide support, resources, and action planning based on the prioritized needs of the caregiver.
Collaborate and problem solve with colleagues on shared cases.
Provide follow-up and additional support as needed.
Document communication with caregivers and collaterals clearly and accurately.
Edit and revise informational materials.
Conduct community outreach and presentations about Springwell and the Caregiver Program.
Organize educational events for caregivers in the community.
Qualifications:
Bachelor's Degree required. Master's Degree in Social Work, Psychology, Counseling or related field preferred.  Social Work license preferred.
At least two years of experience working with caregivers, elders, or adults with disabilities.
Excellent organizational, interpersonal, and communication skills.
Ability to adapt to the needs of individual caregivers.
Ability to work both independently and collaboratively with co-workers, adapt to changes and problem-solve.
Ability to conduct presentations to community groups.
Benefits 
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within
Company Profile 
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://springwell.applicantpro.com/jobs/1396429-143011.html "
6,Caregiver/Personal Care Attendant - PCA,West Newton,Apr 30,https://boston.craigslist.org/gbs/npo/d/west-newton-caregiver-personal-care/7116349411.html,"
compensation: $15.40/hour

employment type: part-time

non-profit organization

","

QR Code Link to This Post


I'm looking for a high-energy, dynamic, interesting personal care assistant and companion to help me in West Newton. Because I have physical disabilities and use a wheelchair, I need help with personal care, routines, errands and social activities. This position is available between now and the middle/end of May 

These shifts are available:
Monday through Thursday 7 a.m.-4 p.m. 
Saturday: 7:00 a.m. – 4:00 p.m. 
Sunday: 4:00 – 11:00 p.m.

I need assistance with things inside and outside of my home, including transfers (using a lift) to/from my wheelchair, exercises, shopping, errands, positioning, personal care, showering, laundry, light housekeeping.

Applicants will need a car to get to our location. You must have a driver's license, so that you can drive my van

Experience with people with physical disabilities is helpful but not required. Training provided.

Must have a valid driver's license and be fluent in English.

I have a cat so if you're allergic, this is not the position for you.

Ideal for people in or studying helping professions: education, physical therapy, occupational therapy, nursing and other teaching/health professions.

If you're interested, please send a resume or a summary of your experience and tell me why you are interested in this job and what hours you are interested in working. You must have three strong references from your work in similar positions.
"
7,Awake Overnights-Teen Living/Parenting-Melrose,N/A,Apr 30,https://boston.craigslist.org/gbs/npo/d/melrose-awake-overnights-teen-living/7116315230.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Awake Overnight Opportunities - Teen Living/Parenting Program

Full-Time & Part-Time Shifts:  Chelsea&Melrose (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
8,Awake Overnights-Teen Living/Parenting-Melrose,Melrose,Apr 30,https://boston.craigslist.org/nos/npo/d/melrose-awake-overnights-teen-living/7116309874.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Awake Overnight Opportunities - Teen Living/Parenting Program

Full-Time & Part-Time Shifts:  Chelsea&Melrose (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
9,"Teen Parenting Program Spanish Speaking- Chelsea, Lynn, Melrose MA",Melrose,Apr 30,https://boston.craigslist.org/gbs/npo/d/melrose-teen-parenting-program-spanish/7116300480.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Lynn, MA - Teen Living/Parenting Program Family Advocate Opportunity
Chelsea, MA- Teen Living/Parenting Program Family Advocate Opportunity
Melrose, MA- Teen Living/Parenting Program Family Advocate Opportunity

Full-Time and Part-Time Opportunities Available - Weekend, Evening and Flexible Scheduling (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions: 
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions. 
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed. 
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources. 
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift. 
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups. 

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below. 

https://workforcenow.adp.com/jobs/apply/posting.html?client=cboard#

To learn more about Centerboard, please visit www.centerboard.org    "
10,Program Staff Scattered Sites,Lynn,Apr 30,https://boston.craigslist.org/nos/npo/d/lynn-program-staff-scattered-sites/7116299051.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Broad Street Program Staff
The primary focus of the Program Site Staff is to provide onsite assistance to program residents in the Scattered Sites Program.  This position will focus on maintaining the safety, security and ensuring program guidelines are adhered to.  Shifts are F/S/S/M/T 4:00pm-12:00Am

Essential Functions:
•	Responsible for unit visits and hourly rounds throughout the building for each shift.
•	Ensure the cleanliness of common areas and units.
•	Complete unit inspection reports.
•	Complete shift and incident reports for each shift.
•	Report any maintenance requests or call for emergency maintenance as required.
•	Receive new families for placement as needed.
•	Responsible for ensuring families keep common area and hallways free form all personal belongings.
•	Maintain keys for units in locked key box.
•	Mediate and address tenant concerns that may arise on shift.
•	Ensure visiting guidelines are adhered to.


Please apply via the Centerboard Website if you enjoy working with people, a flexible work environment and want to make a difference.  

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

Learn more about who we are and what we do at Centerboard by visiting us at www.centerboard.org
"
