date,RSI
2004-12-31,57.9227
2005-01-31,58.7114
2005-02-28,61.8325
2005-03-31,59.6843
2005-04-29,56.3519
2005-05-31,57.2182
2005-06-30,58.0308
2005-07-29,58.8079
2005-08-31,60.1899
2005-09-30,61.3384
2005-10-31,57.4604
2005-11-30,57.7058
2005-12-30,57.4405
2006-01-31,58.381
2006-02-28,57.1778
2006-03-31,57.7224
2006-04-28,58.8128
2006-05-31,58.4596
2006-06-30,59.2704
2006-07-31,60.5535
2006-08-31,60.1042
2006-09-29,60.2644
2006-10-31,61.0728
2006-11-30,62.9273
2006-12-29,63.3103
2007-01-31,62.955
2007-02-28,60.888
2007-03-30,62.655
2007-04-30,63.8252
2007-05-31,65.0706
2007-06-29,65.8434
2007-07-31,66.1262
2007-08-31,66.9792
2007-09-28,68.4902
2007-10-31,67.3751
2007-11-30,65.7196
2007-12-31,67.1774
2008-01-31,62.2934
2008-02-29,63.3739
2008-03-31,62.7784
2008-04-30,65.5136
2008-05-30,66.3649
2008-06-30,66.3557
2008-07-31,60.1899
2008-08-29,60.8065
2008-09-30,59.3161
2008-10-31,56.4296
2008-11-28,57.7861
2008-12-31,56.0233
2009-01-30,54.8584
2009-02-27,51.9165
2009-03-31,53.7159
2009-04-30,53.3614
2009-05-29,53.6961
2009-06-30,53.5611
2009-07-31,54.4542
2009-08-31,54.7794
2009-09-30,54.9163
2009-10-30,56.5826
2009-11-30,57.1558
2009-12-31,56.7846
2010-01-29,55.0965
2010-02-26,55.3384
2010-03-31,56.3159
2010-04-30,57.8083
2010-05-28,55.444
2010-06-30,53.4844
2010-07-30,55.6967
2010-08-31,55.2347
2010-09-30,57.0017
2010-10-29,57.3822
2010-11-30,57.0763
2010-12-31,59.5399
2011-01-31,60.368
2011-02-28,62.4072
2011-03-31,63.1644
2011-04-29,63.5537
2011-05-31,62.2786
2011-06-30,61.5732
2011-07-29,61.8239
2011-08-31,60.3345
2011-09-30,58.2857
2011-10-31,60.9726
2011-11-30,60.5253
2011-12-30,61.267
2012-01-31,60.2128
2012-02-29,61.6139
2012-03-30,60.9994
2012-04-30,60.7895
2012-05-31,58.4715
2012-06-29,59.9992
2012-07-31,60.8307
2012-08-31,61.5238
2012-09-28,62.3873
2012-10-31,60.4073
2012-11-30,59.31
2012-12-31,59.8164
2013-01-31,61.2209
2013-02-28,61.7852
2013-03-28,62.1092
2013-04-30,62.7232
2013-05-31,63.0549
2013-06-28,61.6283
2013-07-31,63.0825
2013-08-30,61.6788
2013-09-30,61.8875
2013-10-31,61.3981
2013-11-29,62.0917
2013-12-31,62.5778
2014-01-31,58.4779
2014-02-28,59.4403
2014-03-31,60.1576
2014-04-30,61.4379
2014-05-30,60.9352
2014-06-30,62.4027
2014-07-31,62.0028
2014-08-29,62.2485
2014-09-30,59.2084
2014-10-31,59.3341
2014-11-28,56.5035
2014-12-31,57.1918
2015-01-30,54.6287
2015-02-27,55.7121
2015-03-31,55.2674
2015-04-30,56.5295
2015-05-29,54.7118
2015-06-30,53.0857
2015-07-31,51.1925
2015-08-31,49.7365
2015-09-30,49.2644
2015-10-30,51.9051
2015-11-30,52.223
2015-12-31,51.9048
2016-01-29,51.0923
2016-02-29,50.6356
2016-03-31,53.2391
2016-04-29,54.6189
2016-05-31,54.593
2016-06-30,55.3701
2016-07-29,54.7851
2016-08-31,54.5736
2016-09-30,55.0658
2016-10-31,55.4497
2016-11-30,57.0645
2016-12-30,58.2686
2017-01-31,56.5992
2017-02-28,57.0387
2017-03-31,55.7061
2017-04-28,55.5338
2017-05-31,54.9781
2017-06-30,55.1601
2017-07-31,56.19
2017-08-31,56.0601
2017-09-29,58.0993
2017-10-31,57.6559
2017-11-30,58.5004
2017-12-29,59.7118
2018-01-31,59.7427
2018-02-28,56.3651
2018-03-29,56.7969
2018-04-30,58.9539
2018-05-31,59.0038
2018-06-29,59.41
2018-07-31,59.3651
2018-08-31,57.5172
2018-09-28,58.2794
2018-10-31,55.4636
2018-11-30,57.1337
2018-12-31,54.6023
2019-01-31,55.7533
2019-02-28,56.9162
2019-03-29,57.5881
2019-04-30,56.8073
2019-05-31,55.5578
2019-06-28,57.5532
2019-07-31,57.225
2019-08-30,56.2008
2019-09-30,56.3697
2019-10-31,55.7585
2019-11-29,56.1799
2019-12-31,56.845
2020-01-31,53.574
2020-02-28,50.7516
2020-03-31,46.6009
2020-04-30,50.457
2020-05-29,50.6385
2020-06-30,50.1601
2020-07-31,49.1489
2020-08-31,49.3892
2020-09-30,47.1502
2020-10-30,46.6991
2020-11-30,50.3644
2020-12-31,49.8553
2021-01-29,49.9965
2021-02-26,52.9071
2021-03-31,53.729
2021-04-30,53.3887
2021-05-28,53.7403
2021-06-30,53.9078
2021-07-30,53.3023
2021-08-31,52.5446
2021-09-30,53.4086
2021-10-29,55.6943
2021-11-30,55.6284
2021-12-31,56.3964
2022-01-31,58.6666
2022-02-28,60.7751
2022-03-31,63.3258
2022-04-29,61.9848
2022-05-24,64.1681
