date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2022-05-24,156.31,175.65,155.15,172.64,172.64,182544596.0,1.42
2022-04-29,162.78,174.54,151.36,156.67,155.3573,200072555.0,0.0
2022-03-31,145.01,174.76,144.7,162.83,161.4657,526661468.0,0.0
2022-02-28,130.83,144.0,130.5144,144.0,142.7935,282783725.0,1.42
2022-01-31,117.42,137.0,117.29,131.33,128.8667,300049707.0,0.0
2021-12-31,114.95,119.3401,110.73,117.35,115.1489,221128758.0,0.0
2021-11-30,115.03,118.08,111.1,112.87,110.7529,224686287.0,1.34
2021-10-29,102.215,115.29,101.88,114.49,111.0532,211814421.0,0.0
2021-09-30,96.86,104.89,93.31,101.45,98.4047,250500704.0,0.0
2021-08-31,102.08,103.98,92.86,96.77,93.8652,213418815.0,1.34
2021-07-30,106.95,107.1,94.52,101.81,97.4041,205657426.0,0.0
2021-06-30,105.3,110.51,102.91,104.74,100.2073,223922486.0,0.0
2021-05-28,103.98,113.11,101.97,103.79,99.2984,209441367.0,1.34
2021-04-30,105.26,107.65,100.14,103.07,97.3806,175177045.0,0.0
2021-03-31,102.46,112.7,100.69,104.79,99.0057,304181340.0,0.0
2021-02-26,85.99,104.96,84.57,100.0,94.4801,202359891.0,1.29
2021-01-29,85.15,96.315,83.89,85.2,79.3973,197519516.0,0.0
2020-12-31,89.28,94.56,83.53,84.45,78.6983,224670987.0,0.0
2020-11-30,70.7,95.82,69.4,87.18,81.2424,241388094.0,1.29
2020-10-30,71.51,76.09,65.16,69.5,63.8207,251171694.0,0.0
2020-09-30,83.26,84.49,70.5,72.0,66.1164,256445094.0,0.0
2020-08-31,83.98,93.01,83.51,83.93,77.0715,173464939.0,1.29
2020-07-31,89.28,92.74,81.51,83.94,75.9624,181494812.0,0.0
2020-06-30,90.94,103.59,86.18,89.23,80.7497,206124485.0,0.0
2020-05-29,91.51,95.56,86.02,91.7,82.9849,206830619.0,1.29
2020-04-30,69.51,95.74,67.61,92.0,82.1119,302736257.0,0.0
2020-03-31,94.02,99.02,51.6,72.46,64.6721,475786719.0,0.0
2020-02-28,106.95,112.6,90.11,93.34,83.3079,158421308.0,1.29
2020-01-31,120.81,122.72,106.4,107.14,94.5171,154369806.0,0.0
2019-12-31,117.98,121.42,115.7,120.51,106.3118,120575629.0,0.0
2019-11-29,115.49,122.94,114.02,117.13,103.3301,119863379.0,1.19
2019-10-31,119.27,119.51,110.42,116.14,101.4559,112966851.0,0.0
2019-09-30,115.77,125.27,114.55,118.6,103.6049,123991425.0,0.0
2019-08-30,122.0,123.89,114.35,117.72,102.8362,132628825.0,1.19
2019-07-31,125.36,127.0,122.33,123.11,106.4509,99528084.0,0.0
2019-06-28,114.7,126.2,114.47,124.44,107.6009,112772229.0,0.0
2019-05-31,119.8,122.49,113.72,113.85,98.4439,174979810.0,1.19
2019-04-30,123.87,127.34,115.65,120.06,102.8009,221265870.0,0.0
2019-03-29,120.39,126.92,119.2,123.18,105.4724,126231302.0,0.0
2019-02-28,116.65,121.29,115.92,119.58,102.3899,113779732.0,1.19
2019-01-31,107.34,115.41,107.1,114.65,97.1898,139157464.0,0.0
2018-12-31,120.77,122.43,100.22,108.79,92.2222,169675118.0,0.0
2018-11-30,111.77,121.87,110.1,118.94,100.8265,151564884.0,1.12
2018-10-31,123.11,127.6,107.54,111.65,93.7489,152334791.0,0.0
2018-09-28,118.93,124.24,113.39,122.28,102.6745,112657973.0,0.0
2018-08-31,125.31,125.92,117.09,118.46,99.467,113556949.0,1.12
2018-07-31,125.28,128.55,119.67,126.27,105.0251,105548364.0,0.0
2018-06-29,125.49,128.38,121.55,126.43,105.1582,136392348.0,0.0
2018-05-31,124.03,131.08,120.06,124.3,103.3865,147855116.0,1.12
2018-04-30,113.89,127.9,110.54,125.11,103.1677,143042793.0,0.0
2018-03-29,111.53,118.35,109.83,114.04,94.0392,139466560.0,0.0
2018-02-28,125.6,125.63,108.02,111.92,92.291,167339580.0,1.12
2018-01-31,125.71,133.88,124.05,125.35,102.347,127629090.0,0.0
