,Year,Month,InflationRate,GasPrice,Sales,NetIncome,Assets,Equity,Volume,AdjustedClose
0,2000,1,2.7,1.329,3481.0,348.0,41250.0,18010.0,37.6875,18.2953
1,2000,2,3.2,1.415,3481.0,348.0,41250.0,18010.0,42.9618,16.476
2,2000,3,3.8,1.556,3481.0,348.0,41250.0,18010.0,51.1761,20.3915
3,2000,4,3.1,1.506,3987.33,372.0,41380.0,18750.0,31.5026,18.779
4,2000,5,3.2,1.526,3987.33,372.0,41380.0,18750.0,30.6928,20.5234
5,2000,6,3.7,1.666,3987.33,372.0,41380.0,18750.0,35.6078,18.8416
6,2000,7,3.7,1.591,3976.67,510.33,41650.0,18920.0,33.4418,17.5464
7,2000,8,3.4,1.506,3976.67,510.33,41650.0,18920.0,31.5698,18.9207
8,2000,9,3.5,1.588,3976.67,510.33,41650.0,18920.0,38.0016,19.0841
9,2000,10,3.4,1.571,4397.33,498.0,40970.0,19930.0,53.6437,18.3856
10,2000,11,3.4,1.557,4397.33,498.0,40970.0,19930.0,32.8458,18.4716
11,2000,12,3.4,1.483,4397.33,498.0,40970.0,19930.0,40.2833,19.0491
12,2001,1,3.7,1.487,3654.67,533.33,42820.0,21250.0,47.956,18.7874
13,2001,2,3.5,1.49,3654.67,533.33,42820.0,21250.0,41.1,19.4707
14,2001,3,2.9,1.45,3654.67,533.33,42820.0,21250.0,58.9378,19.9571
15,2001,4,3.3,1.591,3883.67,441.33,44060.0,22220.0,52.2352,21.9482
16,2001,5,3.6,1.738,3883.67,441.33,44060.0,22220.0,48.6136,21.9813
17,2001,6,3.2,1.658,3883.67,441.33,44060.0,22220.0,51.5314,20.7112
18,2001,7,2.7,1.466,3496.33,389.33,44530.0,23000.0,53.2069,20.9149
19,2001,8,2.7,1.461,3496.33,389.33,44530.0,23000.0,52.8702,20.9135
20,2001,9,2.6,1.557,3496.33,389.33,44530.0,23000.0,62.3171,19.5308
21,2001,10,2.1,1.357,7079.67,-791.67,77170.0,34240.0,81.4745,20.4065
22,2001,11,1.9,1.212,7079.67,-791.67,77170.0,34240.0,66.4223,19.7491
23,2001,12,1.6,1.127,7079.67,-791.67,77170.0,34240.0,51.1426,20.8177
24,2002,1,1.1,1.148,6385.33,241.67,78670.0,34420.0,57.9564,19.468
25,2002,2,1.1,1.155,6385.33,241.67,78670.0,34420.0,50.7446,19.7832
26,2002,3,1.5,1.289,6385.33,241.67,78670.0,34420.0,50.0533,21.1491
