,adjustedClose,volume,year,month,sales,netIncome,assets,equity,inflation,gas
0,18.2953,37687500.0,2000,1,3481.0,348.0,41250.0,18010.0,2.7,1.329
1,16.476,42961800.0,2000,2,3481.0,348.0,41250.0,18010.0,3.2,1.415
2,20.3915,51176100.0,2000,3,3481.0,348.0,41250.0,18010.0,3.8,1.556
3,18.779,31502600.0,2000,4,3987.3333333333335,372.0,41380.0,18750.0,3.1,1.506
4,20.5234,30692800.0,2000,5,3987.3333333333335,372.0,41380.0,18750.0,3.2,1.526
5,18.8416,35607800.0,2000,6,3987.3333333333335,372.0,41380.0,18750.0,3.7,1.666
6,17.5464,33441800.0,2000,7,3976.6666666666665,510.3333333333333,41650.0,18920.0,3.7,1.591
7,18.9207,31569800.0,2000,8,3976.6666666666665,510.3333333333333,41650.0,18920.0,3.4,1.506
8,19.0841,38001600.0,2000,9,3976.6666666666665,510.3333333333333,41650.0,18920.0,3.5,1.588
9,18.3856,53643700.0,2000,10,4397.333333333333,498.0,40970.0,19930.0,3.4,1.571
10,18.4716,32845800.0,2000,11,4397.333333333333,498.0,40970.0,19930.0,3.4,1.557
11,19.0491,40283300.0,2000,12,4397.333333333333,498.0,40970.0,19930.0,3.4,1.483
12,18.7874,47956000.0,2001,1,3654.6666666666665,533.3333333333334,42820.0,21250.0,3.7,1.487
13,19.4707,41100000.0,2001,2,3654.6666666666665,533.3333333333334,42820.0,21250.0,3.5,1.49
14,19.9571,58937800.0,2001,3,3654.6666666666665,533.3333333333334,42820.0,21250.0,2.9,1.45
15,21.9482,52235200.0,2001,4,3883.6666666666665,441.3333333333333,44060.0,22220.0,3.3,1.591
16,21.9813,48613600.0,2001,5,3883.6666666666665,441.3333333333333,44060.0,22220.0,3.6,1.738
17,20.7112,51531400.0,2001,6,3883.6666666666665,441.3333333333333,44060.0,22220.0,3.2,1.658
18,20.9149,53206900.0,2001,7,3496.3333333333335,389.3333333333333,44530.0,23000.0,2.7,1.466
19,20.9135,52870200.0,2001,8,3496.3333333333335,389.3333333333333,44530.0,23000.0,2.7,1.461
20,19.5308,62317100.0,2001,9,3496.3333333333335,389.3333333333333,44530.0,23000.0,2.6,1.557
21,20.4065,81474500.0,2001,10,7079.666666666667,-791.6666666666666,77170.0,34240.0,2.1,1.357
22,19.7491,66422300.0,2001,11,7079.666666666667,-791.6666666666666,77170.0,34240.0,1.9,1.212
23,20.8177,51142600.0,2001,12,7079.666666666667,-791.6666666666666,77170.0,34240.0,1.6,1.127
24,19.468,57956400.0,2002,1,6385.333333333333,241.66666666666666,78670.0,34420.0,1.1,1.148
25,19.7832,50744600.0,2002,2,6385.333333333333,241.66666666666666,78670.0,34420.0,1.1,1.155
26,21.1491,50053300.0,2002,3,6385.333333333333,241.66666666666666,78670.0,34420.0,1.5,1.289
27,20.315,52917700.0,2002,4,7824.0,135.66666666666666,77640.0,34040.0,1.6,1.439
28,20.604,52507400.0,2002,5,7824.0,135.66666666666666,77640.0,34040.0,1.2,1.434
29,20.8992,51228900.0,2002,6,7824.0,135.66666666666666,77640.0,34040.0,1.1,1.424
30,17.7112,93704300.0,2002,7,7971.333333333333,-301.3333333333333,76450.0,32420.0,1.5,1.438
31,18.2588,63834000.0,2002,8,7971.333333333333,-301.3333333333333,76450.0,32420.0,1.8,1.438
32,16.5004,56431700.0,2002,9,7971.333333333333,-301.3333333333333,76450.0,32420.0,1.5,1.441
33,16.1144,77028300.0,2002,10,8981.0,301.3333333333333,76900.0,31910.0,2.0,1.486
34,16.1378,68286900.0,2002,11,8981.0,301.3333333333333,76900.0,31910.0,2.2,1.461
35,16.0054,56845700.0,2002,12,8981.0,301.3333333333333,76900.0,31910.0,2.4,1.429
36,15.5046,75309500.0,2003,1,10217.333333333334,705.3333333333334,81300.0,33140.0,2.6,1.5
37,15.6207,57279500.0,2003,2,10217.333333333334,705.3333333333334,81300.0,33140.0,3.0,1.655
38,15.7375,75873100.0,2003,3,10217.333333333334,705.3333333333334,81300.0,33140.0,3.0,1.734
39,15.2896,62981400.0,2003,4,9695.0,533.3333333333334,80590.0,34420.0,2.2,1.633
40,17.4487,82379200.0,2003,5,9695.0,533.3333333333334,80590.0,34420.0,2.1,1.539
41,17.7587,60865500.0,2003,6,9695.0,533.3333333333334,80590.0,34420.0,2.1,1.533
42,17.7365,55108500.0,2003,7,10054.333333333334,658.3333333333334,81310.0,35510.0,2.1,1.554
43,18.1031,49473100.0,2003,8,10054.333333333334,658.3333333333334,81310.0,35510.0,2.2,1.661
44,17.7504,52694200.0,2003,9,10054.333333333334,658.3333333333334,81310.0,35510.0,2.3,1.721
45,18.4584,57883600.0,2003,10,10044.0,578.3333333333334,80830.0,36560.0,2.0,1.606
46,18.8405,44025100.0,2003,11,10044.0,578.3333333333334,80830.0,36560.0,1.8,1.555
47,21.6729,59434000.0,2003,12,10044.0,578.3333333333334,80830.0,36560.0,1.9,1.522
48,21.6628,58910000.0,2004,1,10377.0,842.6666666666666,85110.0,38460.0,1.9,1.614
49,22.3516,42584700.0,2004,2,10377.0,842.6666666666666,85110.0,38460.0,1.7,1.69
50,22.2074,62504600.0,2004,3,10377.0,842.6666666666666,85110.0,38460.0,1.7,1.778
51,23.1485,64143000.0,2004,4,12208.0,1261.3333333333333,88560.0,41220.0,2.3,1.839
52,23.0526,67610500.0,2004,5,12208.0,1261.3333333333333,88560.0,41220.0,3.1,2.023
53,23.9986,65948800.0,2004,6,12208.0,1261.3333333333333,88560.0,41220.0,3.3,2.013
54,24.3914,54364700.0,2004,7,13199.333333333334,978.6666666666666,91020.0,43040.0,3.0,1.954
55,25.0744,71233700.0,2004,8,13199.333333333334,978.6666666666666,91020.0,43040.0,2.7,1.92
56,27.5896,114212350.0,2004,9,13199.333333333334,978.6666666666666,91020.0,43040.0,2.5,1.912
57,27.2912,113139200.0,2004,10,13154.0,1146.6666666666667,92440.0,45400.0,3.2,2.042
58,28.2971,116588100.0,2004,11,13154.0,1146.6666666666667,92440.0,45400.0,3.5,2.023
59,27.214,116209000.0,2004,12,13154.0,1146.6666666666667,92440.0,45400.0,3.3,1.887
60,28.1935,108787600.0,2005,1,13480.333333333334,892.3333333333334,95800.0,46590.0,3.0,1.875
61,32.3952,113560400.0,2005,2,13480.333333333334,892.3333333333334,95800.0,46590.0,3.0,1.953
62,30.4279,178182000.0,2005,3,13480.333333333334,892.3333333333334,95800.0,46590.0,3.1,2.12
63,27.1352,223928100.0,2005,4,15749.0,1228.0,99040.0,48540.0,3.5,2.285
64,28.3094,175197700.0,2005,5,15749.0,1228.0,99040.0,48540.0,2.8,2.205
65,29.4359,182043800.0,2005,6,15749.0,1228.0,99040.0,48540.0,2.5,2.198
66,30.536,132757200.0,2005,7,17792.333333333332,1198.0,124810.0,60190.0,3.2,2.333
67,32.5644,212698500.0,2005,8,17792.333333333332,1198.0,124810.0,60190.0,3.6,2.529
68,34.3305,172013300.0,2005,9,17792.333333333332,1198.0,124810.0,60190.0,4.7,2.951
69,30.2679,239734300.0,2005,10,17525.333333333332,1381.3333333333333,125840.0,62680.0,4.3,2.765
